userid,version,sum_gamerounds,retention_1,retention_7,user_spend
401,Gulf of Maine,3,False,False,14.06
402,Gulf of Maine,552,True,False,11.09
403,Gulf of Maine,96,True,False,18.64
404,Gulf of Maine,2,False,False,14.89
405,Gulf of Maine,12,True,False,16.79
407,Gulf of Maine,107,True,False,12.87
408,Gulf of Maine,12,False,True,17.73
411,Gulf of Maine,4,False,False,8.97
412,Gulf of Maine,28,False,False,14.71
414,Gulf of Maine,136,True,False,15.04
418,Gulf of Maine,12,True,True,14.62
419,Gulf of Maine,6,False,False,10.28
420,Gulf of Maine,45,False,False,13.6
421,Gulf of Maine,12,False,False,15.47
423,Gulf of Maine,9,True,False,15.97
426,Gulf of Maine,6,True,False,16.16
428,Gulf of Maine,17,True,False,19.35
429,Gulf of Maine,141,True,False,14.34
430,Gulf of Maine,28,False,False,11.64
433,Gulf of Maine,24,True,False,16.16
434,Gulf of Maine,5,False,False,16.63
435,Gulf of Maine,6,False,False,14.9
436,Gulf of Maine,10,False,False,13.75
437,Gulf of Maine,9,False,False,11.01
439,Gulf of Maine,85,True,False,15.64
441,Gulf of Maine,19,False,False,12.59
443,Gulf of Maine,452,True,False,11.26
444,Gulf of Maine,26,True,False,18.55
449,Gulf of Maine,6,False,True,15.59
451,Gulf of Maine,57,False,True,17.81
453,Gulf of Maine,15,False,True,15.52
457,Gulf of Maine,163,True,False,16.9
459,Gulf of Maine,54,False,False,11.9
461,Gulf of Maine,220,True,False,20.3
464,Gulf of Maine,0,False,False,16.87
465,Gulf of Maine,1,False,False,14.55
466,Gulf of Maine,2,False,False,14.12
469,Gulf of Maine,216,True,True,13.31
471,Gulf of Maine,290,True,False,18.19
475,Gulf of Maine,18,False,False,17.8
476,Gulf of Maine,5,False,False,14.31
477,Gulf of Maine,20,False,False,15.76
485,Gulf of Maine,356,False,False,14.68
486,Gulf of Maine,10,True,False,15.4
488,Gulf of Maine,0,False,False,9.41
490,Gulf of Maine,3,False,False,17.29
491,Gulf of Maine,34,True,False,20.25
492,Gulf of Maine,34,False,False,12.9
493,Gulf of Maine,0,False,False,15.65
494,Gulf of Maine,117,True,False,20.66
495,Gulf of Maine,23,False,True,15.87
496,Gulf of Maine,34,True,False,16.6
500,Gulf of Maine,4,False,False,13.36
505,Gulf of Maine,22,True,False,16.49
506,Gulf of Maine,15,True,True,14.3
510,Gulf of Maine,338,True,False,16.41
515,Gulf of Maine,16,False,False,15.68
516,Gulf of Maine,9,True,False,10.43
519,Gulf of Maine,170,True,False,13.21
520,Gulf of Maine,174,True,False,20.1
521,Gulf of Maine,21,False,False,13.48
524,Gulf of Maine,6,False,False,20.31
525,Gulf of Maine,22,False,False,19.36
529,Gulf of Maine,70,True,False,16.91
530,Gulf of Maine,0,False,False,16.4
531,Gulf of Maine,3,False,False,15.21
532,Gulf of Maine,25,False,False,15.03
535,Gulf of Maine,1,False,False,17.06
536,Gulf of Maine,32,False,True,16.33
539,Gulf of Maine,2,False,False,17.37
541,Gulf of Maine,15,False,False,14.77
543,Gulf of Maine,10,False,False,14.97
545,Gulf of Maine,202,True,False,16.54
548,Gulf of Maine,15,False,False,11.27
549,Gulf of Maine,54,False,True,17.71
553,Gulf of Maine,13,True,False,20.49
555,Gulf of Maine,38,True,False,14.12
558,Gulf of Maine,23,False,False,16.75
559,Gulf of Maine,237,True,False,16.26
562,Gulf of Maine,0,False,False,17.23
563,Gulf of Maine,11,False,False,14.87
565,Gulf of Maine,7,True,False,16.39
566,Gulf of Maine,33,True,False,20.12
567,Gulf of Maine,18,False,False,18.15
572,Gulf of Maine,6,False,False,12.89
576,Gulf of Maine,139,False,False,15.14
577,Gulf of Maine,0,False,False,17.39
578,Gulf of Maine,24,True,True,12.53
579,Gulf of Maine,23,False,False,18.66
580,Gulf of Maine,7,False,True,19.23
582,Gulf of Maine,4,False,False,10.36
583,Gulf of Maine,3,False,False,15.86
584,Gulf of Maine,19,False,False,13.3
585,Gulf of Maine,2,False,False,12.61
586,Gulf of Maine,12,False,True,14.2
588,Gulf of Maine,0,False,False,9.71
589,Gulf of Maine,6,False,False,14.44
594,Gulf of Maine,1,False,True,12.78
596,Gulf of Maine,9,True,False,12.19
597,Gulf of Maine,179,True,False,15.77
598,Gulf of Maine,1,False,False,16.27
599,Gulf of Maine,202,True,False,8.12
600,Gulf of Maine,9,True,False,13.66
602,Gulf of Maine,902,True,False,16.17
603,Gulf of Maine,6,False,False,17.72
605,Gulf of Maine,1,False,False,17.23
606,Gulf of Maine,9,True,True,14.86
607,Gulf of Maine,4,True,False,12.92
608,Gulf of Maine,1,False,False,16.51
610,Gulf of Maine,1,False,False,15.53
614,Gulf of Maine,269,True,False,21.64
616,Gulf of Maine,510,True,False,18.21
619,Gulf of Maine,16,False,False,16.84
621,Gulf of Maine,4,False,False,11.12
623,Gulf of Maine,46,True,True,16.97
627,Gulf of Maine,9,False,True,14.44
628,Gulf of Maine,18,False,False,10.66
631,Gulf of Maine,3,False,False,14.51
632,Gulf of Maine,12,False,True,18.06
636,Gulf of Maine,7,False,False,13.62
638,Gulf of Maine,0,False,False,18.09
640,Gulf of Maine,5,False,False,15.69
643,Gulf of Maine,26,True,False,14.76
645,Gulf of Maine,1,False,False,15.49
650,Gulf of Maine,20,True,False,17.9
651,Gulf of Maine,46,False,False,17.6
652,Gulf of Maine,5,False,False,10.28
656,Gulf of Maine,1906,True,False,19.4
657,Gulf of Maine,16,False,False,14.1
658,Gulf of Maine,0,False,False,15.43
659,Gulf of Maine,1,False,False,16.98
663,Gulf of Maine,5,False,False,18.3
665,Gulf of Maine,25,True,False,13.41
666,Gulf of Maine,118,True,True,15.59
669,Gulf of Maine,5,False,True,13.16
670,Gulf of Maine,38,True,False,13.89
672,Gulf of Maine,7,False,False,15.42
673,Gulf of Maine,4,False,False,15.07
674,Gulf of Maine,6,False,True,18.14
677,Gulf of Maine,259,True,False,17.67
681,Gulf of Maine,298,True,False,14.08
685,Gulf of Maine,6,True,False,17.89
686,Gulf of Maine,10,False,False,13.04
690,Gulf of Maine,3,False,False,15.26
692,Gulf of Maine,7,False,False,13.95
693,Gulf of Maine,24,True,False,9.1
695,Gulf of Maine,53,True,True,15.99
697,Gulf of Maine,11,True,False,15.72
700,Gulf of Maine,5,False,True,17.85
702,Gulf of Maine,50,False,False,10.77
703,Gulf of Maine,149,False,False,19.11
704,Gulf of Maine,20,True,False,11.48
705,Gulf of Maine,1,False,False,14.81
710,Gulf of Maine,113,True,False,15.2
713,Gulf of Maine,0,False,False,14.98
715,Gulf of Maine,12,False,False,14.82
717,Gulf of Maine,15,False,True,9.78
718,Gulf of Maine,106,True,True,16.5
722,Gulf of Maine,59,True,False,19.83
723,Gulf of Maine,47,False,False,8.3
725,Gulf of Maine,34,True,False,20.1
726,Gulf of Maine,4,False,True,18.29
727,Gulf of Maine,12,False,True,16.43
728,Gulf of Maine,15,True,False,13.15
730,Gulf of Maine,0,False,False,17.17
731,Gulf of Maine,2,False,False,17.94
733,Gulf of Maine,11,False,False,14.19
736,Gulf of Maine,128,True,False,21.42
739,Gulf of Maine,34,False,True,17.11
743,Gulf of Maine,1,False,False,16.49
746,Gulf of Maine,5,False,False,13.75
748,Gulf of Maine,34,False,False,16.29
750,Gulf of Maine,34,True,True,15.27
751,Gulf of Maine,2,False,True,18.02
754,Gulf of Maine,41,True,False,12.61
757,Gulf of Maine,3,False,False,16.42
760,Gulf of Maine,11,True,False,13.3
762,Gulf of Maine,7,False,False,21.34
764,Gulf of Maine,3,True,True,10.82
770,Gulf of Maine,160,True,False,16.43
771,Gulf of Maine,0,False,True,20.78
778,Gulf of Maine,61,True,True,14.02
779,Gulf of Maine,5,False,False,19.65
780,Gulf of Maine,15,False,False,14.49
782,Gulf of Maine,12,False,False,15.74
788,Gulf of Maine,19,False,False,15.16
789,Gulf of Maine,26,False,False,16.48
790,Gulf of Maine,46,False,False,17.93
792,Gulf of Maine,40,True,False,16.87
798,Gulf of Maine,37,True,False,14.4
800,Gulf of Maine,22,True,False,14.9
802,Gulf of Maine,20,True,False,15.22
803,Gulf of Maine,197,True,True,19.5
805,Gulf of Maine,133,True,False,15.09
808,Gulf of Maine,21,False,True,17.55
809,Gulf of Maine,2,False,True,14.45
810,Gulf of Maine,5,False,False,19.69
813,Gulf of Maine,0,False,False,20.66
814,Gulf of Maine,44,False,False,16.2
815,Gulf of Maine,14,False,True,11.14
816,Gulf of Maine,76,True,False,10.56
817,Gulf of Maine,52,True,False,17.05
819,Gulf of Maine,36,True,False,18.02
822,Gulf of Maine,2,False,False,19.27
825,Gulf of Maine,18,False,False,15.47
826,Gulf of Maine,9,False,False,17.08
828,Gulf of Maine,3,True,False,19.88
833,Gulf of Maine,0,False,False,19.85
835,Gulf of Maine,10,True,False,9.63
836,Gulf of Maine,18,False,False,13.76
838,Gulf of Maine,33,False,True,13.16
840,Gulf of Maine,6,False,False,8.99
841,Gulf of Maine,2,False,False,17.95
842,Gulf of Maine,79,True,False,16.72
844,Gulf of Maine,1,False,True,15.44
846,Gulf of Maine,4,False,False,16.29
847,Gulf of Maine,9,False,False,15.79
848,Gulf of Maine,43,True,False,16.9
849,Gulf of Maine,42,True,True,12.86
851,Gulf of Maine,282,True,False,12.1
852,Gulf of Maine,11,False,False,17.01
854,Gulf of Maine,16,False,False,17.35
856,Gulf of Maine,49,True,False,15.58
857,Gulf of Maine,95,True,False,16.61
859,Gulf of Maine,183,True,True,12.02
862,Gulf of Maine,70,True,False,14.75
863,Gulf of Maine,332,True,False,12.95
865,Gulf of Maine,3,False,False,17.85
866,Gulf of Maine,798,True,False,13.55
868,Gulf of Maine,0,False,False,20.2
869,Gulf of Maine,27,True,False,11.55
871,Gulf of Maine,81,True,False,15.67
873,Gulf of Maine,142,True,True,15.39
874,Gulf of Maine,31,False,False,18.16
875,Gulf of Maine,5,True,True,14.3
878,Gulf of Maine,3,False,False,8.82
879,Gulf of Maine,16,False,True,14.08
880,Gulf of Maine,12,False,False,15.43
882,Gulf of Maine,8,True,True,16.29
886,Gulf of Maine,4,False,False,14.03
888,Gulf of Maine,7,True,True,13.69
892,Gulf of Maine,3,False,False,15.69
894,Gulf of Maine,143,False,False,15.13
897,Gulf of Maine,71,True,False,8.82
898,Gulf of Maine,13,False,False,14.13
900,Gulf of Maine,75,True,False,13.04
901,Gulf of Maine,27,True,True,14.88
903,Gulf of Maine,8,False,True,16.35
905,Gulf of Maine,95,True,False,16.83
907,Gulf of Maine,186,True,False,15.35
908,Gulf of Maine,50,True,False,15.11
909,Gulf of Maine,129,True,False,19.75
913,Gulf of Maine,1,False,False,20.05
915,Gulf of Maine,164,True,False,10.71
920,Gulf of Maine,249,True,False,18.13
922,Gulf of Maine,29,True,False,13.39
925,Gulf of Maine,14,False,False,12.92
926,Gulf of Maine,2,False,False,17.2
927,Gulf of Maine,8,False,False,13.16
930,Gulf of Maine,345,True,False,14.86
932,Gulf of Maine,50,True,False,16.36
933,Gulf of Maine,13,False,False,11.59
935,Gulf of Maine,7,False,False,12.04
936,Gulf of Maine,13,True,True,10.94
937,Gulf of Maine,27,False,False,14.92
940,Gulf of Maine,51,False,False,15.86
941,Gulf of Maine,4,False,False,13.58
943,Gulf of Maine,546,True,False,20.7
945,Gulf of Maine,28,True,False,13.19
946,Gulf of Maine,82,False,False,7.32
947,Gulf of Maine,394,True,False,8.08
948,Gulf of Maine,5,False,False,13.39
951,Gulf of Maine,56,True,False,16.67
954,Gulf of Maine,8,False,True,16.4
955,Gulf of Maine,0,False,True,18.21
956,Gulf of Maine,5,False,False,22.17
958,Gulf of Maine,1,False,False,20.84
959,Gulf of Maine,19,True,False,16.34
960,Gulf of Maine,11,False,False,14.95
962,Gulf of Maine,375,True,True,13.17
963,Gulf of Maine,9,False,False,13.75
964,Gulf of Maine,4,False,True,13.9
967,Gulf of Maine,39,False,True,19.05
968,Gulf of Maine,8,False,False,11.44
969,Gulf of Maine,1,False,False,17.36
970,Gulf of Maine,7,False,True,13.41
972,Gulf of Maine,51,True,False,17.12
974,Gulf of Maine,0,False,False,17.91
975,Gulf of Maine,54,False,False,13.65
976,Gulf of Maine,10,False,False,17.36
979,Gulf of Maine,35,False,False,14.78
981,Gulf of Maine,7,False,True,13.3
984,Gulf of Maine,7,False,False,13.7
990,Gulf of Maine,60,True,False,12.72
992,Gulf of Maine,13,True,True,14.76
993,Gulf of Maine,35,False,False,17.51
995,Gulf of Maine,29,True,True,7.61
997,Gulf of Maine,9,False,False,17.78
998,Gulf of Maine,519,True,True,11.36
999,Gulf of Maine,73,True,True,12.58
1001,Gulf of Maine,0,False,True,13.52
1002,Gulf of Maine,5,False,False,10.31
1003,Gulf of Maine,10,False,True,12.26
1005,Gulf of Maine,5,True,False,13.32
1009,Gulf of Maine,26,False,False,21.32
1011,Gulf of Maine,20,True,False,13.95
1014,Gulf of Maine,7,True,False,15.04
1016,Gulf of Maine,9,False,False,13.64
1019,Gulf of Maine,26,True,False,15.96
1020,Gulf of Maine,553,True,False,15.64
1023,Gulf of Maine,86,True,False,16.9
1025,Gulf of Maine,175,True,False,15.73
1026,Gulf of Maine,28,True,False,15.24
1027,Gulf of Maine,11,False,False,14.29
1028,Gulf of Maine,25,False,False,19.1
1030,Gulf of Maine,81,True,True,15.27
1032,Gulf of Maine,37,True,False,16.03
1033,Gulf of Maine,11,True,False,18.18
1034,Gulf of Maine,3,False,False,11.83
1035,Gulf of Maine,2,False,False,15.42
1036,Gulf of Maine,26,True,True,10.28
1038,Gulf of Maine,0,False,False,10.88
1039,Gulf of Maine,8,False,False,16.25
1041,Gulf of Maine,23,False,False,8.27
1043,Gulf of Maine,123,False,False,18.0
1044,Gulf of Maine,2,False,False,17.88
1050,Gulf of Maine,281,True,False,16.6
1052,Gulf of Maine,20,False,False,9.75
1053,Gulf of Maine,240,False,True,12.7
1054,Gulf of Maine,2,False,False,16.1
1056,Gulf of Maine,33,False,False,14.45
1057,Gulf of Maine,15,False,False,15.93
1059,Gulf of Maine,45,True,False,20.16
1062,Gulf of Maine,11,True,False,14.32
1063,Gulf of Maine,317,True,False,17.26
1066,Gulf of Maine,90,True,False,12.65
1067,Gulf of Maine,15,True,False,17.6
1071,Gulf of Maine,190,True,False,12.55
1073,Gulf of Maine,142,True,False,13.09
1075,Gulf of Maine,50,False,False,15.41
1076,Gulf of Maine,3,False,False,18.17
1079,Gulf of Maine,8,False,False,14.06
1081,Gulf of Maine,28,False,False,10.55
1083,Gulf of Maine,6,True,False,15.81
1084,Gulf of Maine,10,False,False,16.46
1085,Gulf of Maine,2,True,False,15.35
1086,Gulf of Maine,3,False,False,18.49
1088,Gulf of Maine,191,True,False,19.98
1089,Gulf of Maine,2,False,False,13.93
1091,Gulf of Maine,45,False,False,12.9
1094,Gulf of Maine,16,False,False,14.84
1095,Gulf of Maine,18,False,False,14.23
1097,Gulf of Maine,3,False,False,16.46
1098,Gulf of Maine,1374,True,False,16.73
1099,Gulf of Maine,2,False,False,17.23
1101,Gulf of Maine,4,False,False,16.19
1102,Gulf of Maine,8,False,False,21.0
1104,Gulf of Maine,3,True,True,12.25
1105,Gulf of Maine,4,False,True,16.62
1107,Gulf of Maine,1,False,True,14.87
1108,Gulf of Maine,199,True,False,16.29
1109,Gulf of Maine,24,True,False,19.84
1112,Gulf of Maine,197,True,False,18.47
1113,Gulf of Maine,40,False,False,12.63
1120,Gulf of Maine,50,True,False,13.46
1121,Gulf of Maine,2,False,False,11.84
1123,Gulf of Maine,16,False,False,16.52
1124,Gulf of Maine,6,True,False,14.24
1128,Gulf of Maine,93,True,False,13.04
1129,Gulf of Maine,41,True,False,15.53
1130,Gulf of Maine,2,False,True,15.09
1131,Gulf of Maine,16,True,False,16.59
1132,Gulf of Maine,8,False,False,8.86
1134,Gulf of Maine,38,True,False,15.86
1135,Gulf of Maine,91,True,False,18.83
1136,Gulf of Maine,19,False,False,15.95
1137,Gulf of Maine,344,True,True,16.37
1140,Gulf of Maine,2,True,True,18.88
1141,Gulf of Maine,51,True,False,14.0
1142,Gulf of Maine,1,False,False,12.5
1145,Gulf of Maine,44,True,False,22.88
1147,Gulf of Maine,222,True,False,13.79
1148,Gulf of Maine,11,False,False,11.87
1151,Gulf of Maine,12,True,False,16.66
1153,Gulf of Maine,200,True,False,15.17
1155,Gulf of Maine,35,False,False,12.21
1156,Gulf of Maine,3,False,False,16.83
1157,Gulf of Maine,5,False,True,11.31
1158,Gulf of Maine,13,False,False,13.58
1159,Gulf of Maine,17,True,True,15.89
1160,Gulf of Maine,3,False,False,18.32
1161,Gulf of Maine,43,True,False,16.05
1165,Gulf of Maine,399,False,True,8.03
1166,Gulf of Maine,60,True,False,17.11
1172,Gulf of Maine,14,False,False,17.59
1173,Gulf of Maine,129,False,False,15.01
1176,Gulf of Maine,26,False,False,18.51
1177,Gulf of Maine,12,True,False,12.94
1181,Gulf of Maine,7,False,False,13.95
1182,Gulf of Maine,23,True,False,16.02
1183,Gulf of Maine,33,False,False,14.94
1184,Gulf of Maine,38,False,False,14.16
1187,Gulf of Maine,159,True,False,14.17
1188,Gulf of Maine,11,False,False,10.57
1189,Gulf of Maine,4,False,False,13.47
1190,Gulf of Maine,2,False,False,14.6
1192,Gulf of Maine,74,True,False,11.61
1193,Gulf of Maine,4,False,False,15.95
1194,Gulf of Maine,4,False,False,15.86
1195,Gulf of Maine,113,True,False,14.43
1196,Gulf of Maine,1,False,True,15.77
1202,Gulf of Maine,50,True,False,16.36
1204,Gulf of Maine,331,True,False,19.53
1205,Gulf of Maine,12,False,True,14.8
1214,Gulf of Maine,15,False,False,18.36
1217,Gulf of Maine,432,True,False,16.28
1219,Gulf of Maine,8,True,True,5.87
1222,Gulf of Maine,2,False,False,18.0
1223,Gulf of Maine,2,False,True,19.74
1225,Gulf of Maine,4,False,False,19.46
1226,Gulf of Maine,4,False,False,14.89
1227,Gulf of Maine,149,True,False,15.79
1228,Gulf of Maine,13,False,False,15.32
1230,Gulf of Maine,21,False,True,13.67
1231,Gulf of Maine,80,False,False,20.08
1234,Gulf of Maine,12,False,False,17.3
1236,Gulf of Maine,9,False,False,15.96
1237,Gulf of Maine,15,False,False,12.99
1238,Gulf of Maine,13,False,False,15.02
1240,Gulf of Maine,12,True,True,12.65
1242,Gulf of Maine,7,False,False,10.01
1243,Gulf of Maine,45,False,False,15.82
1244,Gulf of Maine,18,False,True,19.38
1247,Gulf of Maine,9,True,False,14.85
1249,Gulf of Maine,181,True,False,14.57
1252,Gulf of Maine,39,True,False,13.96
1255,Gulf of Maine,75,True,False,12.13
1257,Gulf of Maine,10,False,False,15.21
1259,Gulf of Maine,4,True,False,16.45
1260,Gulf of Maine,22,False,True,12.18
1262,Gulf of Maine,59,True,False,15.06
1263,Gulf of Maine,231,True,True,20.83
1264,Gulf of Maine,2,False,True,13.88
1269,Gulf of Maine,311,True,True,16.81
1272,Gulf of Maine,80,False,False,15.45
1274,Gulf of Maine,70,True,False,16.29
1277,Gulf of Maine,27,True,False,17.61
1279,Gulf of Maine,51,False,False,12.54
1280,Gulf of Maine,81,True,False,12.31
1283,Gulf of Maine,44,True,True,11.04
1285,Gulf of Maine,12,True,False,10.82
